in-rho_O,in-rho_O2,in-Th,in-Tv,in-t,out-Y_O,out-Y_O2,out-Th,out-Tv
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,3.4784891533E-12,9.4045111293E-02,9.0595488871E-01,3.1862943238E+03,1.0719357858E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,3.6132740449E-12,9.4045111275E-02,9.0595488872E-01,3.1862937280E+03,1.0719381925E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,3.7494067853E-12,9.4045111257E-02,9.0595488874E-01,3.1862931263E+03,1.0719406234E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,3.8869008532E-12,9.4045111239E-02,9.0595488876E-01,3.1862925185E+03,1.0719430785E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,4.0257698617E-12,9.4045111221E-02,9.0595488878E-01,3.1862919047E+03,1.0719455582E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,4.1660275603E-12,9.4045111203E-02,9.0595488880E-01,3.1862912847E+03,1.0719480626E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,4.3076878359E-12,9.4045111185E-02,9.0595488882E-01,3.1862906585E+03,1.0719505921E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,4.4507647143E-12,9.4045111166E-02,9.0595488883E-01,3.1862900261E+03,1.0719531469E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,4.5952723614E-12,9.4045111147E-02,9.0595488885E-01,3.1862893873E+03,1.0719557272E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,4.7412250850E-12,9.4045111129E-02,9.0595488887E-01,3.1862887422E+03,1.0719583333E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,4.8886373359E-12,9.4045111109E-02,9.0595488889E-01,3.1862880906E+03,1.0719609655E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,5.0375237092E-12,9.4045111090E-02,9.0595488891E-01,3.1862874325E+03,1.0719636240E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,5.1878989463E-12,9.4045111070E-02,9.0595488893E-01,3.1862867678E+03,1.0719663091E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,5.3397779358E-12,9.4045111050E-02,9.0595488895E-01,3.1862860965E+03,1.0719690209E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,5.4931757152E-12,9.4045111030E-02,9.0595488897E-01,3.1862854184E+03,1.0719717600E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,5.6481074723E-12,9.4045111010E-02,9.0595488899E-01,3.1862847336E+03,1.0719745263E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,5.8045885470E-12,9.4045110990E-02,9.0595488901E-01,3.1862840419E+03,1.0719773204E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,5.9626344325E-12,9.4045110969E-02,9.0595488903E-01,3.1862833433E+03,1.0719801424E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,6.1222607768E-12,9.4045110948E-02,9.0595488905E-01,3.1862826378E+03,1.0719829925E+03
